drug,pvalue,padj
dronedarone,0.0958992516427433,0.29152566623329734
nh125,0.09632368414954735,0.2922020355647694
erteberel,0.0965627668442306,0.29231448456820436
dovitinib,0.09680291774023221,0.2924296909605762
vu0364770,0.09814807793712894,0.29587555994797
cgp-54626,0.0990292674228666,0.2979113304800165
chlorquinaldol,0.09957139004784335,0.29829664510848636
chlormidazole,0.09969478577893813,0.29829664510848636
cyclophosphamide,0.09977579559952135,0.29829664510848636
piperacetazine,0.10046347416963518,0.2994059287012048
ly2784544,0.10060115836223234,0.2994059287012048
sns-314,0.10080975032898405,0.2994059287012048
ulipristal,0.10097449426827086,0.2994059287012048
ap1903,0.10209367639803021,0.30210541870746366
norfloxacin,0.10306341163915998,0.3023972940457609
pevonedistat,0.10321249055012871,0.3023972940457609
ap26113,0.1032994220340862,0.3023972940457609
tipifarnib,0.10336317055666681,0.3023972940457609
epothilone-b,0.10342987530358956,0.3023972940457609
tak-632,0.10363284032688073,0.3023972940457609
puromycin,0.1036551885602608,0.3023972940457609
propranolol,0.1040503146931537,0.3029392461991819
nicorandil,0.10571894651805738,0.3067299974844717
chlorambucil,0.10596281831842773,0.3067299974844717
artesunate,0.10598825068571932,0.3067299974844717
dacomitinib,0.1068742347009764,0.30852958881269177
bms-690514,0.10703652631926142,0.30852958881269177
alvespimycin,0.10794683794774415,0.3105349393844648
fenoprofen,0.10829236116298796,0.31091080675167376
nms-873,0.10935055494013567,0.3133272336601511
gambogic-acid,0.11105853881456876,0.31647537747870325
quinethazone,0.11120595744755697,0.31647537747870325
cmpd-1,0.11129917371314732,0.31647537747870325
atenolol-(-),0.11132409615525912,0.31647537747870325
benzocaine,0.11252943289338693,0.31862251544924836
amg-208,0.11266013017557447,0.31862251544924836
wye-125132,0.11299996273338651,0.31862251544924836
dimethisoquin,0.1131635280268932,0.31862251544924836
atipamezole,0.11318035448577309,0.31862251544924836
asymmetrical-dimethylarginine,0.11374526241683619,0.3195168778488018
tucatinib,0.11406294884626413,0.3195168778488018
epiandrosterone,0.11416048780085039,0.3195168778488018
tagatose,0.11463752264894239,0.32023261635718075
az960,0.11534858846344734,0.3215980876813262
sonidegib,0.11732659912921928,0.3264838248845775
fluroxene,0.11993646495455854,0.3331056905743689
creatine,0.1205815764752119,0.33425582597630576
imiloxan,0.12212488519612599,0.33727264076049734
ammonium-lactate,0.12223928747817878,0.33727264076049734
aee788,0.12237198715327821,0.33727264076049734
ly456236,0.12274862704533031,0.33727264076049734
oxyquinoline,0.12283530178353981,0.33727264076049734
ecamsule-triethanolamine,0.12376738265996463,0.33918826270638036
rubitecan,0.12427025038481512,0.33992259415279297
sulmazole,0.12463988555770733,0.3400456940168689
vu0238429,0.12485597765634564,0.3400456940168689
mitomycin-c,0.12518818940875084,0.3400456940168689
hexachlorophene,0.12525525563993858,0.3400456940168689
sulfasalazine,0.12554047859041034,0.34018178374592467
wz8040,0.1260402542217636,0.3408976595493307
bentazepam,0.1266010858563478,0.3417756926009986
cetrimonium,0.1270636969284707,0.3423857904199201
pyrimethamine,0.1274122306122976,0.34268679869143975
mln-8054,0.12788101276382055,0.3433095092193847
idasanutlin,0.1293281406770022,0.3465515177030041
nintedanib,0.13180385258469898,0.35253267040676417
8-bromo-cgmp,0.13210225242716067,0.3526788916274935
kd025,0.1360787878277986,0.3615080103969987
narlaprevir,0.13624914226581533,0.3615080103969987
mrs-1220,0.13632773230584053,0.3615080103969987
vtp-27999,0.13640868947944804,0.3615080103969987
osimertinib,0.13721213681095845,0.3629725081635409
taselisib,0.1379674387051082,0.3637291622109219
nemorubicin,0.13821628536186295,0.3637291622109219
uric-acid,0.1382643283907299,0.3637291622109219
mephenytoin,0.13850364089717895,0.3637291622109219
danazol,0.1388234796930246,0.36390865057211347
alvocidib,0.1396467596910382,0.365404812428449
hyoscyamine,0.14043441397640152,0.3664923008100354
tremorine,0.14056891979928796,0.3664923008100354
kifunensine,0.14120715035816908,0.366797350745608
ilomastat,0.14147413573857268,0.366797350745608
ibutilide,0.1416243947157277,0.366797350745608
lapatinib,0.14189062356585488,0.366797350745608
canrenone,0.1423154857960904,0.366797350745608
