tf,importance_mean,rank
ELF1,0.0003016745302299266,354
ETS1,0.0002996575368174585,355
HOXA9,0.00029953965312567256,356
BHLHE40,0.0002993864297053506,357
ZFP64,0.0002993594663640427,358
EBF3,0.0002986998441125858,359
STAT5A,0.0002933911703098128,360
EGR4,0.00029286594862583116,361
NFKBIB,0.00029175193218928066,362
HOXB2,0.00029065840592608084,363
NR5A1,0.00029057340352286093,364
BTG2,0.0002894906402206724,365
HIF3A,0.0002892660115018468,366
PLAGL1,0.00028818297757879916,367
TBR1,0.00028814063461292486,368
GBX2,0.0002863479403304818,369
TCF20,0.0002823413284943399,370
ZBED1,0.00028027852529248775,371
SMAD9,0.0002802728047792395,372
ZNF217,0.00027998016272666367,373
ISL1,0.000279310631935914,374
OVOL1,0.0002778830051890206,375
MYF6,0.000277722963009334,376
SATB1,0.0002774301664288714,377
TGIF1,0.00027610411470201747,378
RARB,0.00027533982324570163,379
FOXC2,0.0002746984056746745,380
HTATIP2,0.0002740289066916072,381
FHL2,0.00027400777963748624,382
SNAI2,0.00027169730422595963,383
OLIG1,0.0002715343818347075,384
GSC,0.000270601566093139,385
TRERF1,0.00026992516267985897,386
SALL2,0.00026790750308881194,387
EHF,0.0002675115098782044,388
FOXO1,0.00026750525503610825,389
FOXA2,0.0002672720138510461,390
PPARD,0.00026655799087696626,391
SP4,0.0002661387679268046,392
LHX3,0.00026520719516156535,393
MKX,0.0002648554677988339,394
FEZF2,0.0002630668515545646,395
DMAP1,0.0002627455267884216,396
SIX3,0.0002626101165030074,397
LMO4,0.00026179023554580755,398
VHL,0.00026141494048725157,399
PIAS1,0.00026033254345444827,400
MTA2,0.00025896252464008285,401
ZNF24,0.0002580425606313182,402
POU2F2,0.0002579987026119094,403
ENO1,0.0002565155371371475,404
MECOM,0.00025436965867176774,405
NR1H2,0.00025345772925087216,406
NOTCH1,0.0002498106152775866,407
TCF7L1,0.0002493580951162736,408
TEF,0.0002486310073891218,409
SIN3A,0.0002471196869140139,410
CEBPB,0.00024586347057227914,411
RUNX3,0.00024557297169849337,412
NFE2L3,0.0002453146373227355,413
ZNF331,0.00024490254361163956,414
TFEB,0.00024460367024706404,415
ZNF423,0.00024258889168701596,416
HOXA10,0.0002425710992831398,417
NR2C2,0.00024243943419151038,418
FOXO3,0.00024231679805642632,419
KLF10,0.00024231652004687022,420
RB1,0.00024024323846170149,421
YY1,0.00023986145409177578,422
NR2F1,0.00023957840553426497,423
CEBPA,0.00023945840154245465,424
WWTR1,0.0002372301777062565,425
KDM5C,0.00023543559873739165,426
SRF,0.0002345278686069226,427
NR1H3,0.0002325244181747621,428
KCNIP3,0.00023171056741754607,429
NOTO,0.00023082645724722777,430
CTNNB1,0.00023068664195591282,431
YBX3,0.00023013951418609697,432
NKX3-2,0.00023000311694734894,433
TSC22D1,0.00022975304567201721,434
PHF20,0.0002294976662597037,435
CTBP2,0.00022946469048008568,436
NR5A2,0.00022906834447079897,437
ARID3A,0.00022846985919192282,438
BACH2,0.00022829912119656608,439
TSHZ3,0.00022817550773955494,440
TADA2A,0.0002266076588635239,441
EPAS1,0.00022550012213287118,442
ZIC1,0.00022393191648196383,443
NRF1,0.00022381569613495836,444
MLXIP,0.0002235754770765652,445
TCF3,0.00022348643944193706,446
TWIST2,0.00022312801182427695,447
NFKB2,0.00022279650923640777,448
ELF3,0.00022230083979219256,449
INSM1,0.00022159933671825154,450
VSX2,0.00022159781558409955,451
HOXB7,0.00021862677202507305,452
TFCP2,0.00021633234327242217,453
SOX3,0.00021538719667546502,454
AHR,0.0002116227924185902,455
RREB1,0.000210634966398023,456
RORA,0.00020965223199880255,457
TCF7L2,0.00020911547841440855,458
NEUROG1,0.00020906881795781373,459
CREM,0.00020844175548215087,460
MYOG,0.00020828103743421403,461
ATF3,0.00020765716344956314,462
NACC1,0.00020648965327640194,463
BATF,0.00020562947769396563,464
ATF7,0.00020480262395382217,465
GABPA,0.00020452305400150788,466
NRL,0.0002041440180467665,467
FOXH1,0.00020382184508586457,468
RARA,0.00020381047385592172,469
KAT2B,0.0002033277850197616,470
GFI1B,0.00020182557189703706,471
HSF4,0.0002018147051340217,472
ETV5,0.00020180820338140394,473
E2F6,0.00020119908334663704,474
ZKSCAN7,0.00020116053261638457,475
HES6,0.00020054553837477821,476
