# IG global importance: mean |attribution| across seeds x TNBC cells x drugs (3 x 12 x 20 = 720 samples per TF).
# Non-signed (magnitude). For signed per-drug see tf_drug_ig_signed.csv.
tf,importance_mean,importance_std,importance_ci_low,importance_ci_high,rank
POU3F1,0.0005600281309170896,0.00045586244662513306,3.3600242113607236e-05,0.001731903402833268,200
ZHX2,0.0005591689390712417,0.0005424667681176494,3.029032986887614e-05,0.0022500872146338224,201
PITX3,0.0005569333982975877,0.00039625883481330597,4.8080023134389194e-05,0.0013656770868692547,202
CREB5,0.0005487597927867682,0.0003314841401900406,4.84672030324873e-05,0.001092878170311451,203
CREBZF,0.0005482535483603594,0.00037055815262686915,3.924434076907346e-05,0.001464650491834618,204
NKX3-1,0.0005474370781181885,0.00042244327090517903,2.5694277383081502e-05,0.0014778441982343793,205
MITF,0.0005472704470018167,0.0003568017731445047,4.65362972136063e-05,0.0013497573963832084,206
ZNF148,0.0005461085983673304,0.0004624763924547599,0.00012391588952596067,0.0016038039466366172,207
TWIST2,0.0005367237372411182,0.00026782135819326873,0.0001089748038793914,0.0012061231274856253,208
PLAGL1,0.000536202809689712,0.00032159843157536776,0.00012878006709797772,0.0010553465021075682,209
HOXD10,0.0005335600946182239,0.0002926596545907585,9.427966779185228e-05,0.000993806662154384,210
GATA4,0.0005333023505500023,0.00028836692228146737,0.00011886101219715785,0.0010514157300349325,211
TRIM28,0.0005328022421736023,0.0005676039927568048,2.3681970560573976e-05,0.002334618190070614,212
DBP,0.0005271701620699787,0.00035119475262244065,1.7053591091098496e-05,0.0012751612171996384,213
RORB,0.00052084165296075,0.00041193645520761125,8.214856006816262e-06,0.0012421313440427184,214
TBX10,0.0005166819557719767,0.00034276807935669485,7.470928067050408e-05,0.001294308149954304,215
HHEX,0.0005154817651335482,0.00023349956699132937,3.5487176410242684e-05,0.0010375301266321913,216
DMAP1,0.0005130810417843652,0.000387896030299512,6.661129837084446e-05,0.001421575783751905,217
TCF20,0.0005130763414626927,0.00032783130942828426,4.855314057294891e-06,0.0012272048043087125,218
AP1,0.0005070635424241724,0.00035728320267861897,2.6202659728369327e-05,0.0011311808397294948,219
SIX1,0.0005061783943498692,0.0004423915015748699,5.308457248247578e-05,0.0017169737198855727,220
CIITA,0.0005015754349415146,0.00035139337356157905,5.020421403969522e-05,0.0012951547978445888,221
NCOA1,0.000501141247451642,0.0004893146197633493,7.720196799709811e-06,0.0018039482471067445,222
FOXC2,0.0004958415578281953,0.00030076125418497887,4.2974644657078904e-05,0.00109849152213428,223
GLI2,0.0004902558840816103,0.00029087707280961867,0.00014132846044958569,0.0010951887496048584,224
TCF7,0.0004888928677549605,0.00039574407105760843,9.933685214491561e-05,0.001369805002468638,225
NKX6-3,0.0004887809144747734,0.00028279383232644864,7.830121012375457e-05,0.0010218905023066322,226
CEBPD,0.00048114114030835725,0.0004541970638783774,6.246805810405932e-07,0.0016663793940097094,227
AR,0.0004809676523227798,0.00030306177628416453,1.373274858451623e-06,0.0009439200948690988,228
ESR2,0.00047692122673955356,0.000427121004389598,4.057428977830568e-05,0.0016744092717999588,229
ZFHX3,0.0004751754562600278,0.00030755313537852454,3.712718025781214e-05,0.0009572759561706334,230
SALL2,0.0004725978112522474,0.0002885797112674987,4.2251870672771476e-05,0.001027978776255622,231
OLIG1,0.0004723919711674777,0.00032822731552864173,6.630720818066039e-05,0.0010819003015058106,232
FOSL2,0.00047144205484528356,0.0003547352657852394,5.00225905852858e-05,0.0010626969276927411,233
SIX4,0.00047136096451746805,0.00028300835972709106,0.00010292212427884806,0.0010680754203349352,234
ARNT,0.0004674607871493208,0.0003566265217673496,7.185533213487361e-05,0.0015978247247403488,235
NR2C1,0.0004665038565690338,0.000337766540426015,9.99872871034313e-05,0.0013564196415245533,236
NR4A3,0.00046435188867993324,0.00032332712020207474,8.157329593814212e-05,0.0012809818319510667,237
RFXAP,0.00046327850551174755,0.00032485390564896354,1.480113240859282e-06,0.0010034985607489944,238
RARG,0.00046196157221250664,0.0004349045856190667,5.1157006964785985e-05,0.0014364603179274126,239
BATF,0.0004587454506861377,0.000300513478922838,7.491170799767133e-06,0.0012057626619935032,240
ZBTB4,0.0004579026960110847,0.0004477791856174518,1.1548443535502883e-05,0.0014526846469379959,241
PLAGL2,0.0004564147557478767,0.00033329413132080735,8.217806644097437e-05,0.0013193025661166755,242
NEUROD2,0.0004563004977323241,0.0003689984185711199,4.494384093050031e-05,0.0015612865099683404,243
PBX2,0.00045626599680114545,0.000274870918759991,3.8458565904875285e-05,0.0011157799744978547,244
BARX2,0.00045399670297380603,0.00036929962208608676,3.7893732951488346e-05,0.0012825627345591784,245
KDM5D,0.0004531881362784892,0.0002623191947444037,2.9041666493867524e-05,0.0010370149975642562,246
ARID1B,0.0004523941070222766,0.000446653478008111,4.065929670105106e-06,0.0018906829645857215,247
ATF7,0.0004522457154090868,0.0005110911285346952,8.608601706328046e-06,0.0019613543467130513,248
EGR2,0.00045157213644415607,0.00046162662430481187,2.219876660092268e-05,0.0018028920196229592,249
CEBPG,0.0004464190047807885,0.000308118893941436,3.22524135299318e-05,0.0010129052679985762,250
BRD4,0.0004461380927295977,0.00031418896157710225,6.326790035018349e-05,0.0012460402416763828,251
MBD1,0.0004437286515051634,0.0002434848434273151,3.2609200388833415e-06,0.0009847304929280654,252
HIC1,0.00043873376583481637,0.00024711119996786583,1.4245696547732223e-05,0.0009624408281524663,253
SMAD9,0.00043498242271577204,0.0003059538974371275,1.1415483140808648e-05,0.0011385343968868256,254
