drug,mean_predicted_auc,std_predicted_auc,min_predicted_auc,n_cell_lines,subtype,rank
uric-acid,1.2168889,0.040217727,1.1419246,22,Breast (including 12 TNBC),1330
7-nitroindazole,1.218431,0.040207077,1.1434743,22,Breast (including 12 TNBC),1331
chicago-sky-blue-6b,1.2186885,0.04021587,1.1437255,22,Breast (including 12 TNBC),1332
acetazolamide,1.2189264,0.040212426,1.143966,22,Breast (including 12 TNBC),1333
isometheptene-mucate,1.2191578,0.040197156,1.1442087,22,Breast (including 12 TNBC),1334
fleroxacin,1.2208248,0.040188342,1.1458821,22,Breast (including 12 TNBC),1335
rucinol,1.2214478,0.040199433,1.146497,22,Breast (including 12 TNBC),1336
clotrimazole,1.2223493,0.040195677,1.1474011,22,Breast (including 12 TNBC),1337
eprosartan,1.2227277,0.040197097,1.1477784,22,Breast (including 12 TNBC),1338
remoxipride,1.2240777,0.040192593,1.149132,22,Breast (including 12 TNBC),1339
palmitoylethanolamide,1.224752,0.040194478,1.1498046,22,Breast (including 12 TNBC),1340
NSC-319726,1.224805,0.040178634,1.1498694,22,Breast (including 12 TNBC),1341
GSK650394,1.2248317,0.040200483,1.1498799,22,Breast (including 12 TNBC),1342
palmatine-chloride,1.2255945,0.040185746,1.1506538,22,Breast (including 12 TNBC),1343
taurine,1.2258066,0.040178828,1.150871,22,Breast (including 12 TNBC),1344
CPI-1189,1.2260623,0.04019014,1.1511183,22,Breast (including 12 TNBC),1345
pranidipine,1.2283221,0.040179502,1.1533859,22,Breast (including 12 TNBC),1346
loxistatin-acid,1.2290565,0.040193465,1.1541102,22,Breast (including 12 TNBC),1347
carbachol,1.2291621,0.04017986,1.1542255,22,Breast (including 12 TNBC),1348
ribavirin,1.22931,0.040183652,1.1543708,22,Breast (including 12 TNBC),1349
nafcillin,1.2301313,0.040183,1.1551924,22,Breast (including 12 TNBC),1350
epiandrosterone,1.2311962,0.040182136,1.1562581,22,Breast (including 12 TNBC),1351
nemonapride,1.2316496,0.04017483,1.1567171,22,Breast (including 12 TNBC),1352
demecarium,1.2320021,0.04018078,1.1570649,22,Breast (including 12 TNBC),1353
anastrozole,1.2327224,0.040179055,1.1577864,22,Breast (including 12 TNBC),1354
homoquinolinic-acid,1.2333205,0.04017483,1.1583879,22,Breast (including 12 TNBC),1355
colforsin-daproate,1.234549,0.04015846,1.1596284,22,Breast (including 12 TNBC),1356
fluocinolone-acetonide,1.2360117,0.040169887,1.1610827,22,Breast (including 12 TNBC),1357
dichlorisone-acetate,1.2368556,0.04015505,1.1619377,22,Breast (including 12 TNBC),1358
orantinib,1.2370884,0.040164355,1.1621635,22,Breast (including 12 TNBC),1359
prednisolone-tebutate,1.2375412,0.040150385,1.1626266,22,Breast (including 12 TNBC),1360
securinine,1.2380666,0.040161893,1.1631434,22,Breast (including 12 TNBC),1361
homosalate,1.2396699,0.040146705,1.1647582,22,Breast (including 12 TNBC),1362
caffeic-acid-phenethyl-ester,1.2401402,0.040164895,1.165215,22,Breast (including 12 TNBC),1363
metronidazole,1.2402527,0.040159702,1.1653311,22,Breast (including 12 TNBC),1364
prednisolone-acetate,1.2412857,0.040156074,1.1663668,22,Breast (including 12 TNBC),1365
8-bromo-cGMP,1.2419087,0.040155392,1.1669905,22,Breast (including 12 TNBC),1366
dalcetrapib,1.243449,0.040164676,1.1685238,22,Breast (including 12 TNBC),1367
sobetirome,1.2436835,0.04016289,1.1687596,22,Breast (including 12 TNBC),1368
cytarabine,1.2439193,0.04015368,1.1690023,22,Breast (including 12 TNBC),1369
protirelin,1.2440995,0.04014834,1.1691866,22,Breast (including 12 TNBC),1370
clobutinol,1.2458508,0.04013576,1.1709471,22,Breast (including 12 TNBC),1371
cebranopadol,1.2460914,0.040147856,1.1711788,22,Breast (including 12 TNBC),1372
lidocaine,1.2463301,0.040148567,1.171417,22,Breast (including 12 TNBC),1373
enzalutamide,1.2481595,0.040142003,1.1732512,22,Breast (including 12 TNBC),1374
letrozole,1.250223,0.040142514,1.1753144,22,Breast (including 12 TNBC),1375
oseltamivir-phosphate,1.2510493,0.040150497,1.1761346,22,Breast (including 12 TNBC),1376
favipiravir,1.2511636,0.040122986,1.1762695,22,Breast (including 12 TNBC),1377
terconazole,1.2519414,0.04012032,1.1770494,22,Breast (including 12 TNBC),1378
trolox,1.253317,0.04012071,1.1784248,22,Breast (including 12 TNBC),1379
candesartan,1.2541547,0.04013103,1.1792545,22,Breast (including 12 TNBC),1380
tilmicosin,1.2554908,0.040116932,1.1806014,22,Breast (including 12 TNBC),1381
kynurenic-acid,1.2558992,0.040127844,1.1810014,22,Breast (including 12 TNBC),1382
methylphenidate,1.2564079,0.040121213,1.181515,22,Breast (including 12 TNBC),1383
ammonium-lactate,1.2564924,0.040139172,1.1815861,22,Breast (including 12 TNBC),1384
sufentanil,1.2566943,0.040119983,1.1818027,22,Breast (including 12 TNBC),1385
VU0364770,1.2580044,0.040124398,1.1831093,22,Breast (including 12 TNBC),1386
itraconazole,1.2584409,0.040132042,1.1835401,22,Breast (including 12 TNBC),1387
canrenone,1.2587233,0.040119767,1.1838317,22,Breast (including 12 TNBC),1388
norethindrone-acetate,1.2593384,0.04010896,1.1844547,22,Breast (including 12 TNBC),1389
cinnarazine,1.2597449,0.040105592,1.184864,22,Breast (including 12 TNBC),1390
narlaprevir,1.2597774,0.04010657,1.1848956,22,Breast (including 12 TNBC),1391
salidroside,1.2601565,0.04011952,1.185265,22,Breast (including 12 TNBC),1392
dexamethasone-acetate,1.2602401,0.040104747,1.1853597,22,Breast (including 12 TNBC),1393
sodium-glucoheptonate,1.2621673,0.040101275,1.1872897,22,Breast (including 12 TNBC),1394
oxonic-acid,1.2624358,0.040101614,1.1875577,22,Breast (including 12 TNBC),1395
gimeracil,1.2635276,0.04011376,1.1886406,22,Breast (including 12 TNBC),1396
sclareol,1.2650892,0.040095393,1.1902161,22,Breast (including 12 TNBC),1397
estradiol-cypionate,1.2658168,0.04010968,1.1909329,22,Breast (including 12 TNBC),1398
methylprednisolone,1.2710397,0.040097702,1.1961646,22,Breast (including 12 TNBC),1399
cyromazine,1.2733749,0.04007959,1.1985137,22,Breast (including 12 TNBC),1400
4-methylgenistein,1.2736143,0.040098093,1.1987389,22,Breast (including 12 TNBC),1401
sulmazole,1.2739823,0.04007894,1.1991217,22,Breast (including 12 TNBC),1402
dirithromycin,1.2742776,0.040077444,1.199418,22,Breast (including 12 TNBC),1403
epinastine,1.2763118,0.04008291,1.2014478,22,Breast (including 12 TNBC),1404
cefdinir,1.2767792,0.040095422,1.2019058,22,Breast (including 12 TNBC),1405
almorexant,1.2770337,0.04009504,1.2021607,22,Breast (including 12 TNBC),1406
phenelzine,1.2771649,0.040086716,1.2022982,22,Breast (including 12 TNBC),1407
quinidine,1.277364,0.04008495,1.2024987,22,Breast (including 12 TNBC),1408
buthionine-sulfoximine,1.2787049,0.040087067,1.2038381,22,Breast (including 12 TNBC),1409
metoprolol,1.2800479,0.040076643,1.2051888,22,Breast (including 12 TNBC),1410
estrone,1.2836533,0.040071465,1.2087982,22,Breast (including 12 TNBC),1411
tiletamine,1.2840396,0.040062197,1.2091914,22,Breast (including 12 TNBC),1412
dihydroartemisinin,1.2859769,0.04006217,1.211129,22,Breast (including 12 TNBC),1413
oxcarbazepine,1.290472,0.04006218,1.2156241,22,Breast (including 12 TNBC),1414
naftidrofuryl,1.2920299,0.040062178,1.2171817,22,Breast (including 12 TNBC),1415
creatine,1.2922128,0.040066782,1.2173612,22,Breast (including 12 TNBC),1416
oxymatrine,1.2956388,0.040062167,1.2207909,22,Breast (including 12 TNBC),1417
etofylline-clofibrate,1.2961265,0.040062167,1.2212784,22,Breast (including 12 TNBC),1418
riboflavin,1.2970394,0.0400622,1.2221913,22,Breast (including 12 TNBC),1419
niridazole,1.2989221,0.04006219,1.2240739,22,Breast (including 12 TNBC),1420
masitinib,1.2996528,0.04006219,1.2248046,22,Breast (including 12 TNBC),1421
isoetharine,1.3031194,0.04006218,1.2282712,22,Breast (including 12 TNBC),1422
gamma-aminobutyric-acid,1.3035854,0.04006221,1.2287375,22,Breast (including 12 TNBC),1423
leucovorin,1.3078259,0.040062167,1.2329776,22,Breast (including 12 TNBC),1424
parachlorophenol,1.3095721,0.040062193,1.234724,22,Breast (including 12 TNBC),1425
xylazine,1.31158,0.040062185,1.236732,22,Breast (including 12 TNBC),1426
trometamol,1.3115827,0.04006219,1.2367349,22,Breast (including 12 TNBC),1427
metoxibutropate,1.3148971,0.040062193,1.2400491,22,Breast (including 12 TNBC),1428
bendroflumethiazide,1.3150897,0.040062174,1.2402418,22,Breast (including 12 TNBC),1429
morin,1.3159084,0.040062156,1.2410605,22,Breast (including 12 TNBC),1430
octopamine,1.3160197,0.040062167,1.2411716,22,Breast (including 12 TNBC),1431
pilocarpine,1.3174169,0.040062163,1.242569,22,Breast (including 12 TNBC),1432
benfotiamine,1.3190709,0.04006219,1.2442231,22,Breast (including 12 TNBC),1433
dehydrocholate-acid,1.3200526,0.04006216,1.2452047,22,Breast (including 12 TNBC),1434
levocarnitine,1.3223088,0.040062197,1.2474608,22,Breast (including 12 TNBC),1435
colistin-b-sulfate,1.3251945,0.04006219,1.2503464,22,Breast (including 12 TNBC),1436
abiraterone,1.3254962,0.040062215,1.250648,22,Breast (including 12 TNBC),1437
sodium-tanshinone-ii-a-sulfonate,1.3268006,0.040062163,1.2519526,22,Breast (including 12 TNBC),1438
4-methylhistamine,1.3292356,0.040062197,1.2543876,22,Breast (including 12 TNBC),1439
sulfamethazine,1.3301164,0.040062197,1.2552686,22,Breast (including 12 TNBC),1440
amprolium,1.3301536,0.040062193,1.2553055,22,Breast (including 12 TNBC),1441
halcinonide,1.3335595,0.04006219,1.2587116,22,Breast (including 12 TNBC),1442
pomalidomide,1.3389705,0.04006217,1.2641225,22,Breast (including 12 TNBC),1443
nelarabine,1.3538884,0.040062197,1.2790403,22,Breast (including 12 TNBC),1444
iproniazid,1.3656284,0.040062185,1.2907803,22,Breast (including 12 TNBC),1445
quinethazone,1.36968,0.040062193,1.2948322,22,Breast (including 12 TNBC),1446
torcetrapib,1.3781942,0.040062178,1.3033462,22,Breast (including 12 TNBC),1447
atenolol-(-),1.3787146,0.040062178,1.3038664,22,Breast (including 12 TNBC),1448
