drug,mean_predicted_auc,std_predicted_auc,min_predicted_auc,n_cell_lines,subtype,rank
monensin,0.8376594,0.038044717,0.7722243,22,Breast (including 12 TNBC),298
vanoxerine,0.83767563,0.038008112,0.7723573,22,Breast (including 12 TNBC),299
CUDC-907,0.83807015,0.03798954,0.7728214,22,Breast (including 12 TNBC),300
SCS,0.83886486,0.038032204,0.773531,22,Breast (including 12 TNBC),301
WYE-125132,0.8390549,0.03800703,0.7737504,22,Breast (including 12 TNBC),302
PP242,0.8393269,0.03802242,0.7739796,22,Breast (including 12 TNBC),303
K-Ras(G12C)-inhibitor-6,0.8393735,0.038059175,0.7739439,22,Breast (including 12 TNBC),304
BMS-265246,0.8399357,0.038050953,0.77458125,22,Breast (including 12 TNBC),305
naloxone,0.8416983,0.038085725,0.7762389,22,Breast (including 12 TNBC),306
IKK-2-inhibitor-V,0.8421425,0.038087174,0.77674526,22,Breast (including 12 TNBC),307
AT-9283,0.8422924,0.038072594,0.7768911,22,Breast (including 12 TNBC),308
gambogic-acid,0.8423653,0.03810085,0.77686477,22,Breast (including 12 TNBC),309
capecitabine,0.8433271,0.038086683,0.7779734,22,Breast (including 12 TNBC),310
tipiracil,0.84355044,0.038118776,0.7780513,22,Breast (including 12 TNBC),311
PF-562271,0.84371465,0.038132153,0.77816045,22,Breast (including 12 TNBC),312
chloropyramine,0.8437832,0.038116217,0.7782566,22,Breast (including 12 TNBC),313
BMS-599626,0.8439621,0.038134478,0.7783597,22,Breast (including 12 TNBC),314
OSI-027,0.8440862,0.038128793,0.7785389,22,Breast (including 12 TNBC),315
ivermectin,0.8444445,0.03812115,0.77905947,22,Breast (including 12 TNBC),316
tyrphostin-A9,0.8447681,0.038158655,0.7790884,22,Breast (including 12 TNBC),317
SCH-900776,0.8451042,0.038098246,0.7796969,22,Breast (including 12 TNBC),318
galeterone,0.84599054,0.0381541,0.7804081,22,Breast (including 12 TNBC),319
mevastatin,0.846489,0.038173765,0.78079635,22,Breast (including 12 TNBC),320
stattic,0.8466482,0.038198248,0.78087467,22,Breast (including 12 TNBC),321
inosine,0.84666616,0.038125444,0.78108704,22,Breast (including 12 TNBC),322
AMG458,0.84736806,0.03817452,0.7816947,22,Breast (including 12 TNBC),323
chidamide,0.84799135,0.038178895,0.78232425,22,Breast (including 12 TNBC),324
cetrimonium,0.8485709,0.038228657,0.7827193,22,Breast (including 12 TNBC),325
spironolactone,0.84907645,0.03818805,0.7834454,22,Breast (including 12 TNBC),326
parthenolide,0.84940726,0.038234416,0.7836191,22,Breast (including 12 TNBC),327
ryuvidine,0.84949374,0.038218096,0.78373533,22,Breast (including 12 TNBC),328
ponatinib,0.8502905,0.038249344,0.78440213,22,Breast (including 12 TNBC),329
atiprimod,0.8507758,0.038244605,0.78490525,22,Breast (including 12 TNBC),330
CGP-37849,0.8508077,0.0381736,0.7849786,22,Breast (including 12 TNBC),331
difluprednate,0.85155797,0.038253635,0.78567225,22,Breast (including 12 TNBC),332
RG2833,0.852755,0.03825435,0.78695375,22,Breast (including 12 TNBC),333
