tf,HR,pvalue,coef,n
IKZF3,0.6516879692930957,9.0927306598383e-09,-0.42818940631274827,7397
CREB3L3,1.847627650573786,9.672082901998102e-09,0.6139024651333539,7397
NR4A1,0.6899218937106758,1.0084406088364798e-08,-0.3711768853189145,7397
SMARCA4,1.45843925087529,1.556634465027887e-08,0.37736685767572486,7397
ZBTB4,0.6963509204477004,1.6422836242408013e-08,-0.3619015496662886,7397
RUNX1,0.849179049887684,1.91231237201466e-08,-0.16348521986752518,7397
TCF21,0.7339789035241313,2.3856275593627232e-08,-0.30927499257341134,7397
KMT2A,0.6481323014981926,3.049750470616952e-08,-0.43366043449081965,7397
CTCFL,0.6429113881497616,3.095177382198762e-08,-0.4417483742726675,7397
ZBTB16,0.7690027040540871,3.5267914169701953e-08,-0.2626607931574646,7397
ARID1A,0.668810042233304,3.81942759421478e-08,-0.40225520202338094,7397
NR2F1,0.6270394594946235,4.200725787361611e-08,-0.4667458065262378,7397
SFPQ,0.6951403669546431,4.85407990982564e-08,-0.3636414869686886,7397
MED1,0.7111777822147547,4.991431950231079e-08,-0.34083283512593593,7397
PRDM16,0.6349714369835234,5.2869915133600805e-08,-0.4541752622294362,7397
KLF10,0.7008012665295461,5.7144294705371736e-08,-0.3555309320991083,7397
HES5,0.5716775286515079,6.371921349504471e-08,-0.5591802076741412,7397
EN1,0.5012676750757492,6.500046320804016e-08,-0.6906150389865406,7397
TCF4,0.7036510309605675,7.868037538904465e-08,-0.35147274037959136,7397
STAT6,0.8158012052963007,8.406820799805171e-08,-0.20358457465885263,7397
XBP1,0.6982221903341207,9.160411621999587e-08,-0.35921790261326475,7397
DBP,0.8263130713820617,9.402284842157579e-08,-0.19078155622783208,7397
FOXO4,0.6424409412935096,9.575496508567146e-08,-0.44248038660342337,7397
SMARCB1,1.530100629144249,1.0197047860913965e-07,0.4253335039240632,7397
THRA,0.7362588035080039,1.1650386090322215e-07,-0.3061735868613369,7397
ARID3B,1.8716005211242475,1.2637447087308003e-07,0.626793958447718,7397
SRF,0.8717938935158549,1.2816541028744758e-07,-0.13720224365769282,7397
SP6,1.5361481568193815,1.2984125472891378e-07,0.4292780863364924,7397
MLXIPL,0.6184766868876045,1.3466746635464049e-07,-0.4804957808468895,7397
SOX2,0.7245799588700881,1.4573547016672855e-07,-0.32216315910115984,7397
TCF3,0.8067497723482799,1.4617029027914443e-07,-0.2147417302338305,7397
EP300,1.269509774394527,1.6860415129310364e-07,0.23863082153786078,7397
DLX1,0.7621312256551123,1.7399621596865637e-07,-0.2716365259764836,7397
HDAC9,1.336854154111094,1.9720466140870746e-07,0.29031920773518194,7397
MBD2,1.4163470388167667,2.2219130565231426e-07,0.3480810491535187,7397
LHX2,1.4993182548681214,2.4414088742275674e-07,0.40501050803862326,7397
NCOR1,0.677182234315027,2.6373115909291874e-07,-0.3898148630970638,7397
DMTF1,0.7867666297133749,2.751040612735022e-07,-0.23982360603396746,7397
SATB1,0.7292108035499694,2.816869542456034e-07,-0.3157924206675639,7397
GTF3A,1.3331322221625648,2.881233309323895e-07,0.2875312276972066,7397
SPDEF,0.8227739849844411,3.1144023678808543e-07,-0.19507373936915237,7397
EGR2,0.8022318294706977,3.402804606664318e-07,-0.22035764870869523,7397
ZHX2,0.7058249789631293,3.578684952984864e-07,-0.34838797737383137,7397
ARID4B,1.2224662280133372,4.354604331712476e-07,0.2008703166383396,7397
HAND2,0.7651443189080552,4.539774995954765e-07,-0.2676908107807912,7397
MEIS1,0.7369859837745676,5.203141706499427e-07,-0.3051864049185996,7397
BCL3,0.745453753437442,6.185100353089484e-07,-0.29376218099069556,7397
BCLAF1,0.5588956916995639,6.795922801959285e-07,-0.5817924212715975,7397
ARX,0.6806945590821424,6.965916823367432e-07,-0.38464159168175377,7397
MAFA,1.624730826774776,7.102248901921615e-07,0.48534215699936606,7397
TLX3,0.6248483108359503,7.407117033726234e-07,-0.4702463613652726,7397
FLI1,0.7666478967517389,7.648424925250787e-07,-0.26572764853043873,7397
PGR,0.7999662296689461,7.773294656759882e-07,-0.2231857651190172,7397
HOXB2,0.7493113858314665,7.795044834460659e-07,-0.2886006464364258,7397
ZBTB14,0.663761507784059,8.430559611984302e-07,-0.4098323690485093,7397
FOXN1,0.7712238917172053,9.068880980787938e-07,-0.2597765562419071,7397
ZFPM2,0.6759520283879747,1.0510226614462251e-06,-0.3916331693803456,7397
CREBZF,1.5159872764259716,1.0596322609338414e-06,0.4160668943261019,7397
ZBTB18,1.2627124015520077,1.086028798424277e-06,0.2332621068698844,7397
CREBBP,1.480529954525023,1.3358777520343347e-06,0.3924001010633904,7397
HOXA1,0.7195023871749002,1.5165277437330102e-06,-0.32919543483547886,7397
TCF20,0.6815432267987346,1.5310119668353623e-06,-0.3833956009521114,7397
BMAL2,0.7433720409040312,1.5426861669334179e-06,-0.2965586315867677,7397
PARK7,1.3515258224869746,1.5663382772948039e-06,0.30123419309047955,7397
NEUROD6,1.4372577289335164,1.6342805141292799e-06,0.36273694309143895,7397
FOXA3,0.6022786432987307,1.68039425455062e-06,-0.5070350781387001,7397
DACH1,1.389479400484985,1.7653378110442586e-06,0.32892914496277353,7397
HDAC3,1.4887510815166949,1.7730040093572258e-06,0.3979375681466856,7397
POU2AF1,0.7186001489592696,1.7871458141332654e-06,-0.3304501970118,7397
PROP1,1.6043410866110943,1.8490092765194175e-06,0.47271313435119616,7397
MEF2A,0.8056682257984497,2.0399176316604717e-06,-0.2160832517416238,7397
HMGB2,1.5809198288536332,2.0486883214801566e-06,0.4580068478040963,7397
PAX1,0.6944785615497192,2.0836469709301275e-06,-0.3645939861630853,7397
SIX4,2.068773522799323,2.1332072792489794e-06,0.726955930616029,7397
ZBTB17,0.7686411035096867,2.452540734261599e-06,-0.26313112386642,7397
ATF4,1.247213343327717,2.5642447965044274e-06,0.22091173733129815,7397
E2F7,0.6313022364067731,2.6205828964374647e-06,-0.4599705510728184,7397
MAML1,0.7098467922528341,2.780413128447334e-06,-0.3427061177912181,7397
SREBF2,1.2222727925255328,2.8605784716929912e-06,0.2007120703089091,7397
GLI2,1.3234842287912896,2.922413069348277e-06,0.28026782632485403,7397
FIGLA,1.7468196060346053,2.982792749002795e-06,0.5577967665384612,7397
HIVEP3,0.5624866343239324,3.2278601440271473e-06,-0.5753879063877616,7397
SMARCA5,0.6950942573339777,3.3350719900652604e-06,-0.3637078205499083,7397
NCOA1,0.7583297136278357,3.4162292970848954e-06,-0.2766370095146066,7397
MYOCD,0.8677204279935585,3.4427148144828014e-06,-0.14188570376815188,7397
PAX7,1.4984148861409006,3.599731073541479e-06,0.4044078067893303,7397
NR4A3,0.7433288374046919,3.6091617058306446e-06,-0.2966167515488687,7397
HLF,1.5208371659326336,3.6170198756478943e-06,0.4192609503026182,7397
NR1I2,0.7396688181610963,3.8252111285053695e-06,-0.3015527359867372,7397
KLF6,0.7892166343020595,4.189234993416467e-06,-0.2367144276330207,7397
TBR1,0.5620299153116026,4.285538387305868e-06,-0.5762002004132973,7397
ZFX,1.3289223465435176,4.402759379905817e-06,0.2843683480341811,7397
AHRR,1.5184449747093671,4.662173015403254e-06,0.41768676823819256,7397
KLF3,0.7126860620978118,4.838903941559611e-06,-0.338714261143988,7397
ZNF76,1.8645109514959624,5.3556685540154815e-06,0.6229987943100018,7397
SPIC,1.260886942299366,5.518694929257504e-06,0.23181539578599095,7397
MNT,0.6184447380052723,5.798269969352228e-06,-0.480547439556483,7397
MYB,0.8616262939380969,5.878059858384293e-06,-0.14893363603585952,7397
UTF1,1.5060853064686235,6.757138831956052e-06,0.4095137721749447,7397
MTA3,0.6841968975288324,7.512382366453674e-06,-0.3795095408996115,7397
TFAP2A,0.8769859910004886,8.279679597692413e-06,-0.13126426051120937,7397
SALL2,0.6887803874532341,8.371043555986293e-06,-0.3728327997739443,7397
TTF1,0.683289519772613,8.670613213216235e-06,-0.3808366149793338,7397
TEAD2,1.4227135682181677,8.827414874067247e-06,0.352566011579088,7397
HMGA1,0.8565980491415228,9.649043174474928e-06,-0.15478649124739768,7397
TET1,0.7052126061300654,9.994013710682222e-06,-0.3492559526538368,7397
FOSB,1.281738574349418,1.0176782933274723e-05,0.24821741753967416,7397
CTNNB1,0.8815325320988968,1.0278204223901757e-05,-0.12609337243790847,7397
PAX3,0.8314334500963566,1.0658846228270681e-05,-0.1846040195156951,7397
ING4,0.726542963683812,1.085198375283514e-05,-0.31945765982111657,7397
NR1D2,0.6871665979259286,1.2277564015579815e-05,-0.37517851553832693,7397
PAWR,1.432685242379303,1.3306738872438931e-05,0.3595504752982859,7397
NFATC2,0.8517576736239351,1.3992474982134083e-05,-0.16045321323722378,7397
HOXA10,0.7201815169757482,1.4053376473818768e-05,-0.32825199183488185,7397
BACH1,1.2508629446994775,1.460511121059135e-05,0.22383366888786999,7397
SF1,1.9729959515927011,1.5362449988934528e-05,0.6795531751340149,7397
SIX3,1.5868806319167692,1.622487149654913e-05,0.46177022253188277,7397
NHLH2,0.7934154949146496,1.8055350466106378e-05,-0.23140824132874677,7397
OTX2,1.61073224347593,1.9738651787312663e-05,0.47668888521420744,7397
KLF13,0.6422326691529456,2.1473984086289287e-05,-0.4428046279370898,7397
HOXB5,0.7777208790008447,2.2831359669276277e-05,-0.25138758652724785,7397
NKX2-1,1.3935777414323802,2.3140685449127903e-05,0.3318743549968573,7397
NFKB2,0.8747475899751475,2.3175189008312247e-05,-0.13381990283942394,7397
TBX10,0.7800262760923038,2.4662253329321227e-05,-0.24842767256807852,7397
JUNB,0.8396202522906326,2.6851777245095522e-05,-0.1748055699704135,7397
MYC,1.1274453721216124,3.0047118121506485e-05,0.11995434077447205,7397
RFX2,0.5945034863587869,3.130940545384629e-05,-0.5200286985139341,7397
PHOX2B,0.6575578863893177,3.4232377733724555e-05,-0.4192224786696783,7397
ZGLP1,0.5985681343357137,3.7082583222238037e-05,-0.5132149186328323,7397
SOX4,0.780252044106447,3.989580608298933e-05,-0.24813827802507146,7397
E2F1,1.1199101143332215,4.0503429818939604e-05,0.11324842702676985,7397
ETV5,0.8365764663012317,4.158317294572924e-05,-0.17843735053796198,7397
FOXD1,1.3615523540935017,4.24923952463378e-05,0.3086254856376891,7397
TCF7L1,1.5672299802082885,4.347047443521052e-05,0.4493097172561154,7397
TBXT,1.3512284223860598,4.3896878636302524e-05,0.3010141212118178,7397
DDIT3,1.2261942235580006,4.552053771370011e-05,0.2039152454872061,7397
SNAI1,0.8528586048581169,4.611927683822375e-05,-0.15916150741327376,7397
