drug,HR,pvalue,padj,cohort
indirubin,3.4467757576512277,0.04639740413516849,0.22271748118780796,METABRIC
uh-232-(+),1.5289859970814355,0.04641514781675324,0.22271748118780796,METABRIC
cholecalciferol,0.55563887067425,0.046507562739628285,0.22271748118780796,METABRIC
nobiletin,0.7363442744005284,0.04658740184331738,0.22271748118780796,METABRIC
ciclopirox,0.6062755760225315,0.04665457262845502,0.22271748118780796,METABRIC
abt-751,0.39005772536017813,0.046784905096148216,0.22271748118780796,METABRIC
ramatroban,0.6965731318543571,0.046793257104954494,0.22271748118780796,METABRIC
bgt226,0.297929969511536,0.04696391520366081,0.22271748118780796,METABRIC
clocortolone-pivalate,1.416410142328263,0.04741961934752444,0.22271748118780796,METABRIC
bms-265246,0.6471447712661214,0.04752677930376926,0.22271748118780796,METABRIC
cephalomannine,0.46993782895044717,0.04759774691465507,0.22271748118780796,METABRIC
fdcyd,0.5319643466834214,0.04774513584280597,0.22271748118780796,METABRIC
oxymatrine,0.6510910187091808,0.04782350039444495,0.22271748118780796,METABRIC
temazepam,1.7728840218602457,0.047918048200405794,0.22271748118780796,METABRIC
azd6482,0.39381478538368014,0.048022013911953064,0.22271748118780796,METABRIC
er-27319,0.1626299229290873,0.04838315285880513,0.22320058837671503,METABRIC
ly2874455,2.27124841359366,0.048455769036618475,0.22320058837671503,METABRIC
iodipamide,1.718851520939851,0.04858893250771613,0.22320058837671503,METABRIC
parachlorophenol,0.661030847941128,0.048874362943880555,0.2234286020542894,METABRIC
cebranopadol,1.3932617712948843,0.04894738552260521,0.2234286020542894,METABRIC
azd2858,0.5909614477420935,0.04912588046566056,0.2235382045088391,METABRIC
difluprednate,0.6570687990713713,0.04935031451524148,0.22385550189202014,METABRIC
baicalin,1.6402990025988358,0.04989752078396673,0.2244333460559862,METABRIC
dexrazoxane,0.4086211940961795,0.049925693901439305,0.2244333460559862,METABRIC
chloroxine,0.4626603233261506,0.049943011354545645,0.2244333460559862,METABRIC
terbutaline,1.45264593248875,0.051631573303533525,0.23105634687785964,METABRIC
yo-01027,1.4850273195783055,0.05191315376442614,0.23105634687785964,METABRIC
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,0.6933616480364464,0.05195507229444375,0.23105634687785964,METABRIC
bis(maltolato)oxovanadium(iv),0.5868118006794794,0.05205554186743762,0.23105634687785964,METABRIC
ethacridine-lactate-monohydrate,0.6003209821477176,0.05229201006499826,0.23139614239771397,METABRIC
birinapant,0.7493778449485617,0.05279953145076933,0.23259689697055871,METABRIC
caffeic-acid,0.6600239058033804,0.05293715997496741,0.23259689697055871,METABRIC
dihydromyricetin,1.463794814486718,0.0530455950243845,0.23259689697055871,METABRIC
piperazine,0.7241950853574732,0.053431962051998884,0.2335832298768652,METABRIC
melphalan,1.5511714640519187,0.05371231318350191,0.23410155776062427,METABRIC
kp-1212,0.557369286419215,0.05398549732661494,0.2345856295243598,METABRIC
nomegestrol-acetate,1.518855924210359,0.0542980273828009,0.2352372623440506,METABRIC
torin-1,0.30384912286523935,0.05491985548966499,0.23689718449780633,METABRIC
meglitinide,1.6650940664303926,0.05506665405425906,0.23689718449780633,METABRIC
su014813,0.5271528405186433,0.055172322858162225,0.23689718449780633,METABRIC
benfotiamine,0.7590375562251688,0.05600676371965278,0.2397686008944899,METABRIC
trans-4-hydroxycrotonic-acid,1.372480252787959,0.056866010544776226,0.24272895946398584,METABRIC
u-18666a,0.6982671863663709,0.05750891698950293,0.24475118495238454,METABRIC
ccg-50014,2.6168600230547607,0.058398038374064216,0.24780633878965078,METABRIC
pki-179,0.3001073164197544,0.058576177589802624,0.2478354648317088,METABRIC
dirithromycin,1.3710019631132626,0.05894740973393508,0.24848640086773424,METABRIC
ly2603618,0.4326030347406713,0.05934710919179055,0.24848640086773424,METABRIC
cs-110266,1.3876497023869319,0.05955283700027163,0.24848640086773424,METABRIC
ki-16425,0.5917403012972812,0.05964527294708121,0.24848640086773424,METABRIC
gsk1904529a,0.7754424298010487,0.059754421489755995,0.24848640086773424,METABRIC
