drug,HR,pvalue,padj
maytansinol-isobutyrate,0.3589282180622111,2.776557594444275e-07,3.826360799200825e-06
levobunolol,0.3543474879763806,2.8887961987643793e-07,3.943479339256657e-06
kw-2478,0.25042203244349065,2.9368339296747806e-07,3.971587566578885e-06
dienogest,0.40941068083177684,3.2411973843753e-07,4.342604273325055e-06
talazoparib,0.40484767577118985,3.682804218325734e-07,4.889007067814071e-06
bis(maltolato)oxovanadium(iv),0.318198157170295,3.7726166863645684e-07,4.962705768335937e-06
phenylbutazone,0.4514564015367621,4.442544808127984e-07,5.79131742104612e-06
vu0361737,0.5169327083650741,4.951454855151479e-07,6.397102835182313e-06
rubitecan,0.3880082120160868,5.765575057507542e-07,7.3474084059493215e-06
crenolanib,0.10658019891374823,5.788559490519852e-07,7.3474084059493215e-06
tipranavir,0.33884139335456687,6.117014229745261e-07,7.696179979001834e-06
lanatoside-c,0.11234567107957405,6.169708898163185e-07,7.696179979001834e-06
azd2461,0.5732676663720679,6.292096418891476e-07,7.781763690714502e-06
beta-naphthol,2.4208616609550293,6.44834619256664e-07,7.907421136138922e-06
pf-04217903,2.3099783768547746,6.962661136280832e-07,8.4663619026877e-06
bix-01294,0.03298751156576813,8.233319129177336e-07,9.928010649933005e-06
cp-724714,14.596851873532756,8.306048406078965e-07,9.932935573220052e-06
lurasidone,0.4183031841427018,9.209062040576574e-07,1.0922551453044512e-05
avn-944,0.2065305565148152,9.719475216713933e-07,1.1434211901288667e-05
sclareol,0.4552976965664593,1.027505762318029e-06,1.1990329339307967e-05
azd5438,0.03606093131105899,1.1247835299296924e-06,1.2984343987133008e-05
harringtonine,0.15893266343184473,1.1306339615609944e-06,1.2984343987133008e-05
osimertinib,6.383312748744484,1.1745636030190298e-06,1.338262624857115e-05
azd7762,0.17199890550778033,1.3261149528202893e-06,1.4991315130710614e-05
ku-0063794,0.21361808987848413,1.354660026634667e-06,1.5195295027444675e-05
ikk-2-inhibitor-v,0.19352023866529347,1.4393492023688082e-06,1.6021063814058965e-05
cct128930,0.41145798698735586,1.4804561804913561e-06,1.6352825138709867e-05
saracatinib,5.499586063505141,1.5292930572876977e-06,1.6764295862843174e-05
ggti-298,0.4344774727813454,1.5565397377405993e-06,1.693468421436577e-05
genipin,0.2318035388192261,2.023918842740748e-06,2.1855302727207925e-05
s26948,1.8922913223305555,2.0473212246202714e-06,2.194425045944839e-05
trovafloxacin,0.4344343933434403,2.198682429157434e-06,2.3393334374932407e-05
pf-05212384,0.08251209114218598,2.2935361190450816e-06,2.4224428936191484e-05
roquinimex,0.2982544402259368,2.3660705952413454e-06,2.4809450371842226e-05
doxorubicin,0.14658423260468492,2.403567940086445e-06,2.5021315174856736e-05
tak-715,0.40174229874398426,2.8440031467129828e-06,2.9394803952097755e-05
way-600,0.17448620691767838,2.8971810966112613e-06,2.973206416167727e-05
ixabepilone,0.13593738350608658,3.2632960770039305e-06,3.325344664383582e-05
mebendazole,0.11819928657913788,3.308873609512438e-06,3.3482098692059424e-05
oxiracetam,0.26806343745219174,3.4374070418508793e-06,3.454116659415432e-05
pralatrexate,0.3392254214480438,3.8321758533863655e-06,3.824247213689704e-05
pelitinib,3.419099570527163,3.9872980203244305e-06,3.951794681787295e-05
evodiamine,0.24770123238913913,4.093352075681056e-06,4.029306430959516e-05
trametinib,1.9970703140462076,4.84421964562622e-06,4.7362066400142835e-05
naloxone,0.6028650997805844,4.932903343721347e-06,4.7905443881642884e-05
d-7193,0.43419925827094785,5.148458806751788e-06,4.9665465955798915e-05
pf-477736,0.35834755274357794,5.406334126120932e-06,5.180771841388734e-05
epirubicin,0.15226994989521944,5.943944859241972e-06,5.658479086396799e-05
ac-264613,0.3906112799846821,6.082424324606283e-06,5.7524627435982293e-05
efonidipine-monoethanolate,0.3428625071569641,7.23132549373751e-06,6.794628564570245e-05
difluprednate,0.5067745405114543,7.291183921719675e-06,6.806672990147335e-05
sb-366791,2.619071781710133,7.533997278758529e-06,6.988265424592045e-05
fenbendazole,0.3921778357401796,7.759095825606833e-06,7.151217617613433e-05
gsk1292263,0.37086315757649274,8.72681003049823e-06,7.970530556156354e-05
gossypol,0.01806066641405192,8.758219477739187e-06,7.970530556156354e-05
piretanide,0.4654982350025672,9.168094528791634e-06,8.291395489475933e-05
entinostat,3.2782212103650146,9.329108908099361e-06,8.361619612191335e-05
letrozole,0.4716018783093791,9.397207154855586e-06,8.361619612191335e-05
pi-828,0.34911267133687146,9.419101567292243e-06,8.361619612191335e-05
iododexetimide,0.45794363792851606,9.684556618378004e-06,8.544849650483518e-05
penfluridol,0.10524183826685045,1.1106010991574233e-05,9.739635093822978e-05
cefditoren-pivoxil,2.7970302703197456,1.1270562729897442e-05,9.82440016274795e-05
pu-h71,0.07419460203431033,1.1430402217339171e-05,9.904067070951965e-05
obatoclax,0.3489841424580746,1.2608632238943889e-05,0.0001085993502961417
