drug,HR,pvalue,padj
clenbuterol,0.7400659893388418,0.013231386629115393,0.05819397097972637
dapivirine,0.6517999981484506,0.013351302882267217,0.05854344021406261
d-64131,0.7551061053851381,0.013486310839580044,0.05885075214443643
flumethasone-pivalate,0.8535165123140144,0.013502729586698615,0.05885075214443643
oleoylethanolamide,0.7333774391564957,0.013626993614990798,0.059213993275951005
asymmetrical-dimethylarginine,0.7445412357475559,0.013850348301678158,0.0600043532710428
lenvatinib,0.518250276055421,0.013932408961779984,0.06017968885879294
daclatasvir,1.3776587859633718,0.014258844502750386,0.0614063928436899
maxacalcitol,1.3294851948204707,0.014429857028035037,0.06195846623016824
docetaxel,0.7344765511203544,0.014538831236769606,0.06224168283906989
idazoxan,1.4295623911038335,0.014816574054504155,0.0632436066574263
chicago-sky-blue-6b,1.3243602085322594,0.014967706896419216,0.06370079964446648
novobiocin,1.3738478591964802,0.015062108266056896,0.06391457671842911
ki-16425,0.7094031792422915,0.015107058481512173,0.06391787608990677
epothilone-b,0.6967342960582013,0.015485199191180297,0.06532677326425042
bgt226,0.491640111694442,0.015631076042251488,0.0657504855614474
ranitidine,1.4440262695903143,0.015785740520107554,0.06620859864520472
tedizolid-phosphate,0.6152301235311224,0.015877330080604844,0.06640027926773183
ver-49009,0.6272035197789402,0.01605773758317355,0.06696122848084186
fdcyd,0.7323141574270873,0.01622839501711235,0.06747841261425738
zk-93426,0.7270942226078179,0.01632065643554613,0.06764487989689325
lonafarnib,0.8052882292054173,0.0163619267200502,0.06764487989689325
simvastatin,0.7570426368897865,0.016592949169804843,0.06835435498910507
iproniazid,0.8182164772916258,0.01662801171815134,0.06835435498910507
lapatinib,1.6506892462299294,0.016954157984774305,0.06949763910472641
crizotinib-(s),0.5069866905038982,0.017135382386310405,0.07004208562991852
onc201,0.49390024639268126,0.017393073156567636,0.07088062540483864
ly3023414,0.49432058209762936,0.017485364023484353,0.07088062540483864
mln0128,0.7103112284224306,0.01748747979925874,0.07088062540483864
otx015,0.865677780408179,0.017627413211579172,0.07124823161216498
cycloheximide,0.6641267741964635,0.017858442849756587,0.07198096602673477
eprosartan,0.7767928525814042,0.017995204319285103,0.07216355413149018
genz-644282,0.5985587827207122,0.01800348517033031,0.07216355413149018
alvocidib,0.648004430357678,0.01809986556622467,0.0723494626362627
irinotecan,0.7226343487247449,0.01817135890799756,0.07243514143215557
linalool,1.3093359188918194,0.018235325643209132,0.07249042913660333
hmn-214,0.6186221202245149,0.01865117876303368,0.07394042649345133
az960,0.6755512871857363,0.018710039387691963,0.07397111200543789
i-bet-762,1.7460957914717206,0.019106352013164716,0.07533212905463037
unc2250,1.2603472648073555,0.019311243254173438,0.07593306790431784
nizatidine,1.347132803683516,0.019455676999081736,0.07629367105059966
chloramphenicol-palmitate,1.4032507175491105,0.019686702463535606,0.07699096882361087
eprinomectin,1.2634355302276845,0.020103828956665206,0.07841035175281551
bntx,0.49992810165261653,0.0201979972936495,0.078501872283131
capecitabine,0.4685326789529841,0.020274404450692212,0.078501872283131
chromocarb,0.8254737516502969,0.0202900485375888,0.078501872283131
acetophenazine,0.7302592993358294,0.020349171194985104,0.07852066858438252
fluoromethylcholine,1.3227129903299655,0.020459783589562255,0.07873751822898027
sb-242235,0.759757138178555,0.020718430614721513,0.07952140344695499
fk-3311,0.6903434161828926,0.021065701737381017,0.08064039792060934
hydrocortisone,1.4281167922569582,0.021226993324566405,0.08089816453322166
gdc-0879,1.1353074562933552,0.021244853160072033,0.08089816453322166
tg-100572,0.5274044894134686,0.021341146706954778,0.0810515466796944
chlorpyrifos,1.267366018939701,0.021488700135954258,0.08139829606472726
oxyphencyclimine,0.7395086570530305,0.021872269128459763,0.08263491756888063
tiletamine,1.2547587006275807,0.022201703532572677,0.08366110680112672
colchicine,0.748354694891246,0.02231112247691303,0.08385504993270948
naftifine,0.7462432549822839,0.022437410834224222,0.08411122662466956
tioxolone,0.782657569891554,0.02263296602294953,0.08450854358720189
refametinib,1.3928718157716078,0.022661714618045822,0.08450854358720189
diazooxonorleucine,0.7647968837864282,0.022718606396283023,0.08450854358720189
estrone,1.2482988588211903,0.02337977979060613,0.08674497783847966
levonorgestrel,1.353657299051802,0.023694405216743857,0.08722428207311562
imiloxan,1.3099448791792891,0.02371902343607519,0.08722428207311562
quinethazone,0.7990325264405536,0.023745425658813914,0.08722428207311562
dioscin,0.63264363477621,0.023770412133102638,0.08722428207311562
metoprolol,1.3060772842110064,0.023810360344768952,0.08722428207311562
triciribine,1.528594701769419,0.02391685116939921,0.0873931405104057
quizartinib,0.8607325989453417,0.02399107524843612,0.08744354127074828
y-320,1.1810714290338986,0.02455005443956525,0.08925610244736411
mrs-1220,0.735688042691232,0.024698489150225312,0.0895707112791379
vlx600,0.8681516582259527,0.024777344818027538,0.08963204487921463
dcebio,0.6166575484448085,0.02486475204086553,0.08972393068112823
acivicin,0.6753704023808441,0.024991389050315477,0.08978230250971304
palbociclib,1.2151382219198024,0.025005022744584906,0.08978230250971304
