target,n_sig,n_total,pct_sig,odds_ratio,pvalue,padj
DRD4,2,9,22.22222222222222,0.46265938069216755,0.913224580912577,1.0
HDAC4,2,9,22.22222222222222,0.46265938069216755,0.913224580912577,1.0
HDAC5,2,9,22.22222222222222,0.46265938069216755,0.913224580912577,1.0
ALK,2,9,22.22222222222222,0.46265938069216755,0.913224580912577,1.0
FGFR1,4,16,25.0,0.538695917123705,0.9141036048778435,1.0
CDK1,4,16,25.0,0.538695917123705,0.9141036048778435,1.0
JAK2,4,17,23.529411764705884,0.496695260863451,0.9371755759671919,1.0
JAK3,2,10,20.0,0.40437158469945356,0.9413734880099475,1.0
HTR2C,2,10,20.0,0.40437158469945356,0.9413734880099475,1.0
HTR6,1,6,16.666666666666668,0.324,0.9439908315102923,1.0
HDAC10,1,6,16.666666666666668,0.324,0.9439908315102923,1.0
HTR2B,1,6,16.666666666666668,0.324,0.9439908315102923,1.0
HDAC3,4,18,22.22222222222222,0.4606946983546618,0.9544749444997698,1.0
CDK4,2,11,18.181818181818183,0.359036632260676,0.9607009677149386,1.0
HDAC8,2,11,18.181818181818183,0.359036632260676,0.9607009677149386,1.0
AURKA,5,22,22.727272727272727,0.47349709114414995,0.961445960096103,1.0
ROCK1,1,7,14.285714285714286,0.2696969696969697,0.9654072449994171,1.0
GLRA1,1,7,14.285714285714286,0.2696969696969697,0.9654072449994171,1.0
HTR1D,1,7,14.285714285714286,0.2696969696969697,0.9654072449994171,1.0
SLC6A3,1,7,14.285714285714286,0.2696969696969697,0.9654072449994171,1.0
ADRA2C,2,12,16.666666666666668,0.3227686703096539,0.9738331557011224,1.0
ADRA2B,2,12,16.666666666666668,0.3227686703096539,0.9738331557011224,1.0
ADRA1A,4,20,20.0,0.40219378427787933,0.9766749076744741,1.0
JAK1,1,8,12.5,0.2309090909090909,0.9786437783364458,1.0
NR3C2,1,8,12.5,0.2309090909090909,0.9786437783364458,1.0
CHRM2,2,13,15.384615384615385,0.29309488325881766,0.982678351942434,1.0
HDAC6,2,13,15.384615384615385,0.29309488325881766,0.982678351942434,1.0
ADRA1B,2,14,14.285714285714286,0.26836672738312084,0.988592111981735,1.0
CHRM1,2,15,13.333333333333334,0.2474429031806081,0.9925208625451786,1.0
AURKB,3,20,15.0,0.2830613997423787,0.9944091386387861,1.0
MAP2K1,2,16,12.5,0.22950819672131148,0.9951164482002468,1.0
ADRA1D,1,12,8.333333333333334,0.14628099173553719,0.9969110768034538,1.0
GSK3B,1,15,6.666666666666667,0.11454545454545455,0.9992788237416472,1.0
VEGFA,0,4,0.0,0.0,1.0,1.0
USP7,0,3,0.0,0.0,1.0,1.0
TYR,0,3,0.0,0.0,1.0,1.0
APP,0,3,0.0,0.0,1.0,1.0
RRM2B,0,4,0.0,0.0,1.0,1.0
ROCK2,0,4,0.0,0.0,1.0,1.0
PSMB1,0,3,0.0,0.0,1.0,1.0
POLE,0,4,0.0,0.0,1.0,1.0
POLD1,0,3,0.0,0.0,1.0,1.0
POLA1,0,5,0.0,0.0,1.0,1.0
PNP,0,3,0.0,0.0,1.0,1.0
PDE3A,0,3,0.0,0.0,1.0,1.0
TEK,0,4,0.0,0.0,1.0,1.0
SGK1,0,3,0.0,0.0,1.0,1.0
HTR3A,0,6,0.0,0.0,1.0,1.0
HTR1E,0,4,0.0,0.0,1.0,1.0
HTR1B,0,7,0.0,0.0,1.0,1.0
GRIA1,0,5,0.0,0.0,1.0,1.0
GLRB,0,5,0.0,0.0,1.0,1.0
FGFR4,0,6,0.0,0.0,1.0,1.0
DPP4,0,3,0.0,0.0,1.0,1.0
DNMT3B,0,3,0.0,0.0,1.0,1.0
CYP17A1,0,3,0.0,0.0,1.0,1.0
CFTR,0,3,0.0,0.0,1.0,1.0
CCL2,0,3,0.0,0.0,1.0,1.0
CASP3,0,3,0.0,0.0,1.0,1.0
CA9,0,3,0.0,0.0,1.0,1.0
CA6,0,3,0.0,0.0,1.0,1.0
TRPM2,0,3,0.0,0.0,1.0,1.0
TP53,0,3,0.0,0.0,1.0,1.0
BIRC2,0,3,0.0,0.0,1.0,1.0
BCL2L1,0,4,0.0,0.0,1.0,1.0
