drug,n_samples,pearson_r,spearman_r,rmse
evodiamine,92,0.17102983817615378,0.22742474916387956,0.16295468739891303
evp4593,92,0.2054846466582436,0.24857050382997087,0.11401014752460636
exatecan-mesylate,60,0.40933142886911045,0.49535982217282587,0.14572687254869712
exemestane,59,0.04968880398144436,0.018001168907071888,0.2285376771993335
famciclovir,69,0.17257073103399712,0.19744245524296677,0.24099507927187572
famotidine,79,0.11880390869470442,0.12276046738072054,0.26843543546810633
favipiravir,85,-0.10293215405882142,-0.07901113933945672,0.17739576418253333
fdcyd,76,0.15056786146379172,0.18854408749145593,0.16435432835430977
felbamate,85,-0.00648632485174452,0.006800859878835255,0.12207945897254822
fenaclon,80,-0.12603054402558428,-0.1291373652133146,0.1783030360479791
fenbendazole,86,0.24098252182989172,0.25970092928911737,0.17652818930054456
fendiline,74,-0.05669090071977695,-0.06490929285449833,0.17529058014211293
fenofibrate,89,0.26240412383140416,0.31401089547156963,0.20571268475953364
fenoprofen,83,0.15023826790488137,0.15192477225977077,0.11419733236313266
fenretinide,89,0.23633305339776683,0.2601634320735445,0.1318873982218712
ferb-033,85,0.1293357220750138,0.09288645690834474,0.15095514914988356
fexinidazole,71,0.03740100147175803,0.019785378940308518,0.28750620304219254
fg-4592,85,0.07754257494039404,0.04715653703341802,0.29566024881885344
filanesib,90,0.29765200645946616,0.46124238447899196,0.17335535378109962
filgotinib,74,-0.007214897698918849,0.006827101073676415,0.2309659024870195
finafloxacin,86,0.22564909458349,0.2477192320392471,0.3048987371063556
fk-3311,88,-0.06793908114911752,-0.15999788665422143,0.1817404794629681
fk-866,84,0.5153704112222224,0.5368135429579438,0.09588494828668052
fk-888,82,0.18682370103806176,0.2981573992446752,0.1629062152194164
fleroxacin,79,0.07773206104704551,0.017137293086660177,0.30392788880231447
fli-06,87,0.14716648627276474,0.11804694904133556,0.18602346912740528
florfenicol,88,0.047863160683230904,0.042460638934873736,0.19489382986147907
floxuridine,90,0.19882383974891307,0.28942667819072315,0.19388394035035306
flubendazole,94,0.2509328131762397,0.20306325181519344,0.10871433936587985
fludarabine,89,-0.08198095060329423,-0.1724378617637045,0.2125745312979544
fludarabine-phosphate,90,0.11018596203265983,0.16468699839486353,0.15239064569435415
fludroxycortide,84,0.14159187665523193,0.1230940568998684,0.1738087194306024
flufenamic-acid,83,0.16855660775526526,0.13721086436337684,0.18203600958761668
flumatinib,86,-0.02986002531196685,-0.03342610500495306,0.2649352347880495
flumethasone,89,0.11191914811557042,0.07436159346271708,0.35214202871962813
flumethasone-pivalate,82,0.15054033995959876,0.09733241910732361,0.27668886873959
fluocinolone-acetonide,84,0.2951952467337986,0.3149944315075428,0.28851514465149225
fluorometholone,90,0.112026512244021,0.11007943367493928,0.1978900266614485
fluoromethylcholine,55,0.12165358647504287,0.15598845598845604,0.17630720579052045
fluroxene,93,0.026931306846623336,0.004013607472173315,0.2591620565819018
flutamide,88,0.20855881638329232,0.16778204360536791,0.21248088518600855
fluticasone-propionate,75,0.11031226669704111,0.14927453769559032,0.2654415343099635
fluvastatin,92,0.27681223341853245,0.40999953762927116,0.14110257768657566
foretinib,84,0.12279472397388624,0.07841536790545095,0.10588050481028927
formestane,84,-0.050377256623499705,-0.014903310721879113,0.2384959360185755
forodesine,82,0.00835768690962499,0.041238123224605745,0.1401587312546124
forskolin,70,0.18191828218178463,0.016254046015221766,0.25529637878750383
fosbretabulin,95,0.3262355947729155,0.36082809790356685,0.15942558605048182
foscarnet,82,-0.11645741036442474,-0.03736354632622632,0.25395553543285737
fph1-(brd-6125),73,-0.09317820981131412,-0.12581759842033816,0.21321092871135902
fr-122047,77,-0.007691329819615867,0.10231873389768126,0.24193907648340027
fr-139317,91,0.06857287931148975,0.1481286829112916,0.16403503316905993
frentizole,92,0.11987025795728107,0.13397962486321532,0.18326731575895205
ftorafur,88,0.017022411177249945,0.05707794723680041,0.22952565909968958
fudosteine,81,0.20002251309335506,0.23543360433604335,0.1632460563716762
fulvestrant,79,0.008564294483107568,0.0944985394352483,0.24205825701450087
g-1,89,0.0915940528081019,0.2677221654749745,0.26495423456884576
galeterone,89,0.014288912471427046,0.12032686414708889,0.1613083048420079
gambogic-acid,94,0.272406358539344,0.1828053317920746,0.05809523689123905
gamma-aminobutyric-acid,81,0.20528865701903565,0.16449864498644987,0.2821798276725187
ganetespib,91,0.4032935199382715,0.4087353128930284,0.14681174127382585
gastrodin,90,0.1494527897442556,0.30256410256410254,0.20928119572750864
gdc-0068,90,0.5056327980094532,0.5626126682306457,0.12662322715991123
gdc-0152,90,0.32805750226762753,0.3054286537432605,0.2612638338225738
gdc-0349,93,0.11868926226494332,0.1133806809704276,0.10856317342269833
gdc-0879,79,0.2621250863473368,0.309493670886076,0.4814406122536802
gdc-0941,93,-0.005501264025023184,0.04033004088209841,0.16561682129854985
gdc-0980,90,0.25611671157481214,0.28024075796208303,0.1152736291593068
gefitinib,94,0.07529435453221361,0.15596807637132354,0.16641978555351733
gemcitabine,73,0.2158296020444642,0.12217697149204002,0.14167847316841758
genipin,92,-0.01657141137485951,0.016444985589445616,0.1605961260062261
genz-644282,94,0.46956239142041234,0.4198316656431745,0.080793696752179
gestrinone,84,0.045921205110447165,0.08921737369646655,0.2084558667083844
ggti-298,91,0.21378254184894838,0.1284599458512502,0.20784133761145532
gidazepam,86,0.06326635653880462,-0.03848294730883532,0.1435943750003244
gilteritinib,88,0.17682364536380354,0.23146419640026772,0.14871091040602658
gimeracil,83,0.04627949823478187,0.006254985097183158,0.1706676151117664
ginkgolide-a,92,-0.03957093149267363,-0.07162122589892576,0.2568977648252102
givinostat,89,0.12575930001596172,0.16857337419135174,0.07670627155856717
golgicide-a,89,0.1418746620009596,0.23663602315287713,0.154268291219066
