drug,HR,pvalue,padj,cohort
poziotinib,1.90312742966718,0.00011680972431372677,0.0006815470608143655,SCANB
atenolol-(+/-),0.41459826904578906,0.00012014062179468689,0.000698166585288803,SCANB
cyclophosphamide,0.44706936750426285,0.00012246313426764763,0.0007088166211411445,SCANB
cyclovalone,8.25006684174115,0.0001310983754665444,0.0007557743000003575,SCANB
torasemide,0.5294668975312251,0.0001354304948234833,0.0007776505000380171,SCANB
acetylcysteine,2.183719582762234,0.00013697123646999596,0.000783388850482546,SCANB
prednisolone-acetate,0.6470875010213487,0.00014315724317205997,0.0008155453971258692,SCANB
sb-505124,0.4234016837223897,0.00014791848547164805,0.000839364895990097,SCANB
dioscin,0.29495174611070824,0.00014918261016785963,0.0008432313941909879,SCANB
ly3023414,0.16503008632160807,0.0001559914607665548,0.000877328399000721,SCANB
nadifloxacin,0.6030744767897257,0.00015642759291097859,0.000877328399000721,SCANB
tosedostat,0.3874790859901329,0.00015778229665792994,0.0008815095878919869,SCANB
cyproterone-acetate,0.3333741242527279,0.00016016280691424204,0.0008913676215573393,SCANB
bexarotene,0.20088445852732661,0.00016383599145648015,0.0009083167802204092,SCANB
bgt226,0.17397841689604784,0.00017359883759711297,0.0009587691526832918,SCANB
narasin,0.38250078553761957,0.00018298848980319112,0.0010067845807802949,SCANB
tas-103,0.2892438722334983,0.0001886048965584258,0.0010337548686365232,SCANB
pp-121,0.16176113412662782,0.00019236742637417429,0.0010503987394846423,SCANB
capecitabine,0.14360296695516864,0.00019339015688553737,0.001052013372230724,SCANB
bekanamycin,0.5736663685431953,0.00019465614157610864,0.0010549342204517948,SCANB
ly2608204,3.135861144070042,0.0001966678147976076,0.0010618594328811125,SCANB
ccmi,0.5365354449420198,0.00019803967149877502,0.0010652914671328158,SCANB
nvp-auy922,0.40886093999881096,0.00020378376501617253,0.0010921300295496357,SCANB
lb42708,0.25552489452490007,0.00021110538938390097,0.001127193721175294,SCANB
paclitaxel,0.47458994005938926,0.00021462558397455973,0.0011417765441587792,SCANB
acdpp,0.5615671866592621,0.00023243224148894071,0.0012314941755898127,SCANB
prednisolone-hemisuccinate,0.7453236992442578,0.0002331924009064331,0.0012314941755898127,SCANB
acetophenazine,0.45180399478962296,0.00024279710489300783,0.0012753326326501763,SCANB
azodicarbonamide,0.47202561448791824,0.00024428057345627957,0.0012753326326501763,SCANB
toremifene,0.3842818878487391,0.0002447234748498596,0.0012753326326501763,SCANB
nvp-bez235,0.4185846616315988,0.000245018985402038,0.0012753326326501763,SCANB
azd8931,2.819197752606665,0.00024642868229420343,0.0012780727716118724,SCANB
imiloxan,2.0069126189058784,0.0002732291130427902,0.001412009023474705,SCANB
voxtalisib,0.6107556563387266,0.00027553000258433223,0.001418832433236757,SCANB
pepstatin,2.5715326757734647,0.00028250708410233234,0.0014496019528229605,SCANB
eprinomectin,1.7836239738951607,0.00029369669767707467,0.001501693008970767,SCANB
m-344,0.19766415808899387,0.0002954164222775921,0.0015051674754777314,SCANB
i-bet-762,3.9767715184542296,0.0002988148983684692,0.0015171409050497367,SCANB
gsk256066,0.5991246065109701,0.0003002386269019318,0.0015190394864583753,SCANB
azathioprine,0.5728033592162127,0.0003023817473878739,0.0015228018807164144,SCANB
metronidazole,1.778752753898507,0.0003030870363830873,0.0015228018807164144,SCANB
ver-49009,0.32471679727960073,0.00031638879269853227,0.001578851058402373,SCANB
semaxanib,2.6836926154688956,0.00031642488385396554,0.001578851058402373,SCANB
rs-67506,0.5122868210871155,0.0003202950878763596,0.0015898693917071598,SCANB
ban-orl-24,1.9030585913818205,0.00032083058906599214,0.0015898693917071598,SCANB
hyodeoxycholic-acid,0.5409944163239752,0.00033073440440744504,0.001633353867500249,SCANB
clonazepam,0.2787056777278996,0.0003320201695622106,0.0016341264808044855,SCANB
diazooxonorleucine,0.5110731943493206,0.00034965170473389383,0.0017150712432201503,SCANB
bromosporine,0.6336791265017866,0.00035513681217767823,0.0017360911054766905,SCANB
fosbretabulin,0.3636226002006461,0.00035666826776675704,0.001737707015011776,SCANB
lapatinib,3.3138760580047175,0.0003587915469927152,0.001742185800330399,SCANB
tioxolone,0.5400522025977351,0.00036056970621659994,0.0017449644310883615,SCANB
epothilone-d,0.35775725617394993,0.0003623925268481379,0.0017462814819904548,SCANB
dehydrocholate-acid,0.6090449287754048,0.00036325551214867096,0.0017462814819904548,SCANB
triapine,0.41354888131085926,0.00037736759170983313,0.001808115580146121,SCANB
pyrimethamine,0.43130602861514833,0.0003848411896865521,0.0018378389487671318,SCANB
sb-743921,0.3751309781027648,0.00038736216723824526,0.001843792947347832,SCANB
naftidrofuryl,1.9525548083980788,0.00038998057952886316,0.001850170159273,SCANB
bisindolylmaleimide-ix,0.12887018094426597,0.0004001220409662722,0.0018920803701901825,SCANB
oxymatrine,0.5201189965974893,0.00040310296348662557,0.0018999673881600885,SCANB
bisacodyl,0.5084211662217167,0.0004134809194156437,0.0019425548389429756,SCANB
dorzolamide,0.5368983106065879,0.0004148840605611865,0.0019428389502654916,SCANB
4-iodo-6-phenylpyrimidine,0.45685891222067637,0.00041696687674105774,0.0019442823888854838,SCANB
napabucasin,0.39738197724873564,0.00041880513415885087,0.0019442823888854838,SCANB
th-302,0.3605830621291212,0.00041922329324966894,0.0019442823888854838,SCANB
indiplon,0.41332376683250016,0.0004247501812834041,0.0019636214451025104,SCANB
levocarnitine,0.615988055347912,0.0004329099324130745,0.0019949702936360473,SCANB
naftifine,0.48633773663377045,0.0004355622901106949,0.002000821059651351,SCANB
oleanolic-acid,2.1269125926855263,0.0004443696639237126,0.0020348193154987727,SCANB
maxacalcitol,1.92218176406865,0.00046436305133373064,0.002119663518233149,SCANB
azd8055,0.24158975250814274,0.00046972445752696177,0.002137393993841238,SCANB
camptothecin,0.6174301163705815,0.000472957802906756,0.0021453603160065072,SCANB
novobiocin,2.0754497118492576,0.0004916414189332141,0.002223141041238627,SCANB
fenofibrate,1.8245451408384885,0.0004973714962377037,0.0022420453428534494,SCANB
clenbuterol,0.5063283727696162,0.0005275181616370965,0.0023705552170462073,SCANB
amoxicillin,2.2322440270364665,0.0005328400137921222,0.0023870572754092906,SCANB
docetaxel,0.498831671778782,0.0005435582320425511,0.002427557906683862,SCANB
gsk461364,0.5735407578236431,0.0005599620974639504,0.002493123553939496,SCANB
fluvastatin,0.3282395603561899,0.0005868490921390841,0.0026048179028382045,SCANB
su3327,0.32540090742843986,0.0006090876424879083,0.002695259384342517,SCANB
pilocarpine,1.5350193850521907,0.0006285682317544084,0.002772982412648259,SCANB
torcetrapib,0.5760938229926004,0.000636279106586148,0.002798467681550627,SCANB
