drug,n_samples,pearson_r,spearman_r,rmse
carbachol,53,0.087134615,0.17392356071601356,0.19960733
carboplatin,90,-0.034118358,-0.05519199901222373,0.24702781
carboxyamidotriazole,91,-0.07458892,-0.04123268036311515,0.16008756
carboxypyridine-disulfide,90,0.098483235,0.12217969296620981,0.1040903
carfilzomib,90,-0.0055931476,-0.034004198049141864,0.12010456
cariporide,86,-0.07289277,-0.04146422001037785,0.27671653
carmofur,84,0.06876964,0.16611679141414062,0.11051131
carmustine,93,-0.21125023,-0.17668825161887136,0.27314943
carvedilol,89,-0.13338844,-0.11554307116104871,0.17547618
cebranopadol,84,-0.054083575,-0.04339374303938443,0.2530779
cediranib,93,0.12201965,0.09871385515203962,0.12574436
cefdinir,89,0.27828395,0.2104698672114403,0.20770746
cefditoren-pivoxil,92,-0.024379062,-0.1003652728757918,0.19482106
cefpiramide,83,0.09279851,0.07959363586751185,0.36572325
cephalomannine,93,0.006852866,0.027737160932231202,0.14168182
cetrimonium,91,0.101507165,0.09412326803631152,0.094764784
cetylpyridinium,90,-0.14561437,-0.037675433181051154,0.114009574
chicago-sky-blue-6b,79,0.124729715,0.11385102239532621,0.18447933
chidamide,89,0.09841842,0.08808307797071845,0.105605155
chlorambucil,83,0.1828683,0.2296922883170312,0.14913175
chloramphenicol-palmitate,56,-0.031283885,-0.09651401230348598,0.17750466
chlorhexidine,86,-0.015693398,-0.07284305863484125,0.13534941
chlorindanol,88,0.1281952,0.1272762495156916,0.18182372
chlormidazole,93,0.03790127,0.015054758139118496,0.13287838
chlorogenic-acid,89,0.079162285,0.09622063329928501,0.20706931
chloropyramine,33,0.073827244,0.09893048128342247,0.12719503
chloroxine,91,-0.03663975,0.08041917669747091,0.1292913
chlorpropamide,91,0.048562635,0.02073578595317726,0.2229948
chlorpyrifos,85,0.15640508,0.13488372093023254,0.17889518
chlorquinaldol,90,0.00072330533,-0.06182656295015845,0.19137448
cholecalciferol,91,-0.07470047,-0.05766841853798376,0.20308204
chromocarb,87,-0.14865912,-0.11432893489830136,0.26906896
cibenzoline,88,-0.095680274,-0.05403120707266389,0.12902208
ciclesonide,86,0.37895322,0.315892259068824,0.29391226
ciclopirox,91,0.04297282,0.07928014014970537,0.17324695
cidofovir,82,0.0068080835,0.020733339863519117,0.18760882
cilostamide,89,0.07930302,0.12112700034048351,0.18658175
cimetidine,83,0.08294311,0.05371423774823658,0.16505843
cinacalcet,87,0.087537184,0.08441228149615716,0.0745537
cinalukast,83,0.1965826,0.14678533199430188,0.1630344
cinnarazine,82,-0.018317768,-0.03224823412892764,0.18490872
cinromide,80,0.061068628,0.05895452414439757,0.16759984
ciprofibrate,84,0.001324547,-0.13765313354257366,0.23766972
cisplatin,92,-0.080383934,0.05899850500131004,0.23064966
cladribine,62,-0.18432997,-0.1826446072876533,0.13550285
clebopride,56,0.07654181,0.06151742993848257,0.20863935
clenbuterol,84,-0.049806163,-0.09841044851675611,0.18444079
clindamycin-phosphate,81,0.19827417,0.172289972899729,0.16526724
clobetasol-propionate,84,0.147993,0.12530120481927712,0.31882012
clobutinol,69,-0.008428696,0.04771647789550604,0.34161675
clocortolone-pivalate,43,0.20969668,0.25400181214134704,0.17045403
clofarabine,91,0.078812174,0.0014652014652014654,0.120614246
clofazimine,90,-0.12558357,-0.1516648145861629,0.19700049
clofibrate,72,0.030547526,-0.019004437584410578,0.19998345
clofoctol,86,0.11744074,0.17679135808292842,0.11181471
clomifene,92,-0.008646437,-0.032936208251776275,0.17086554
clonazepam,93,-0.15694943,-0.13726835964310224,0.10664
clopamide,86,0.18116808,0.154261993490259,0.22479467
clotrimazole,90,0.09138901,0.11559451784170885,0.22281715
cobicistat,86,0.06622856,0.05678569743855842,0.21226776
cobimetinib,86,-0.09144179,-0.1218430721892767,0.20084739
colchicine,87,0.09546842,0.15005103156666907,0.1554548
colforsin-daproate,87,0.0995719,0.07601880877742946,0.22803012
colfosceril-palmitate,81,0.13353872,0.08760162601626016,0.17627816
colistin-b-sulfate,66,-0.09152303,-0.13165640329819436,0.31643128
costunolide,87,0.1126337,0.1351060727564336,0.2158338
creatine,83,-0.028516566,-0.09288023172830695,0.24885368
crenolanib,95,0.15987763,0.1301791713325868,0.08467386
crizotinib,94,0.0010397772,-0.039607074616139756,0.1248179
cromakalim,45,-0.17457946,-0.17628458498023714,0.24963589
crystal-violet,84,-0.046331786,-0.10865647463804799,0.15499498
curcumin,91,0.18312594,0.10299410734193344,0.06277143
cyclocytidine,92,-0.12018202,-0.07995931137586117,0.17824878
cycloheximide,90,0.1408841,0.19410626826357164,0.13433866
cyclophosphamide,59,-0.10380482,-0.13226183518410287,0.17743213
cyclosporin-a,81,0.09546286,0.15171635049683832,0.17986119
cyclosporine,87,0.039199334,0.049209010716629,0.13664812
cyclovalone,91,-0.19907841,-0.20839305621914317,0.079415224
cyclovirobuxin-d,81,0.19556467,0.16169828364950314,0.16016276
cyproheptadine,90,0.2098746,0.1521751656583117,0.15530597
cyproterone-acetate,72,0.19504745,0.12268656276083723,0.117690235
cyromazine,82,0.17892188,0.21150183389384097,0.1924469
cyt387,84,-0.05339546,-0.02528841611247571,0.08261282
cytarabine,80,-0.050188575,-0.0713314580403188,0.1526116
cytochalasin-b,94,-0.045848154,0.03342845789834917,0.1352084
cytochlor,92,0.09554491,0.01784751013362514,0.20135424
dabrafenib,93,0.009058585,-0.03412270086324875,0.3546559
dacarbazine,89,-0.054754373,-0.07798144439310636,0.11173378
dacinostat,91,0.30171448,0.24374900461856985,0.065217085
daclatasvir,80,-0.13775598,-0.026535396155649323,0.23654772
dacomitinib,88,-0.057530515,0.004162923639460775,0.15099047
dalcetrapib,83,0.116067156,0.0888291843331514,0.16431947
danazol,85,0.16654702,0.16966972835645885,0.24844424
danusertib,94,0.021194547,0.04657732182205685,0.15413791
dapivirine,89,0.13703133,0.04039836567926456,0.09043949
darapladib,89,-0.05091933,-0.058018386108273756,0.13006483
darifenacin,90,0.17640704,0.1421821624068815,0.21521963
dasatinib,89,0.2549235,0.2625306183776099,0.18371846
daunorubicin,93,-0.033794146,-0.0406220161683707,0.17809708
decitabine,93,0.045947753,0.08765642936668769,0.1333355
defactinib,73,-0.11177593,-0.16456867826730842,0.20201603
deferasirox,90,0.09424704,0.04796476931308392,0.2640367
deflazacort,87,0.07352673,0.13698330538747538,0.2336016
deforolimus,92,0.12309667,0.1634942897214987,0.25587398
dehydrocholate-acid,77,0.09258682,0.07179662442820336,0.20341176
delanzomib,95,0.027984152,0.010792273236282197,0.07373132
demecarium,81,0.05925929,0.019241192411924117,0.19270831
deoxycorticosterone-acetate,91,-0.054261345,0.017486860965121837,0.19057576
dequalinium,89,0.037231453,0.039274770173646584,0.17368683
desonide,87,0.26703227,0.2654552744769264,0.22022079
desoxycortone,85,0.012766476,0.038362321672855186,0.31311387
dexamethasone-acetate,68,0.22826956,0.21697140893995495,0.29123354
dexrazoxane,80,-0.09619727,-0.07695733708391936,0.083087765
dianhydrogalactitol,95,0.046508152,0.046360582306830905,0.14432329
diaveridine,86,0.21313426,0.1789801405726685,0.22746341
diazooxonorleucine,87,-0.004826987,0.05343734052635415,0.17559163
dichlorisone-acetate,73,0.024664197,0.0732444773540664,0.27787417
dichloroacetate,92,-0.2513773,-0.19840581947774294,0.13012052
dichlorvos,94,-0.102965996,-0.08156659887565004,0.1170028
