tf,rank_42,importance_mean_42,rank_123,importance_mean_123,rank_456,importance_mean_456,mean_rank,in_top20_all_seeds
EN1,419,0.0002542355681119564,642,0.00012901424008070921,249,0.0004076009244217306,436.6666666666667,False
PPARGC1A,767,2.3827353966897714e-05,73,0.0014360582784072242,470,0.0002002222072957066,436.6666666666667,False
NEUROG1,422,0.00025171287360204917,430,0.00036533429890065844,459,0.0002060023625262781,437.0,False
TEF,484,0.00019914259472257484,428,0.00036966300051448564,401,0.0002529776753831494,437.6666666666667,False
NFATC1,450,0.00022902377957672633,302,0.0005576451928914828,561,0.00013935834535190722,437.6666666666667,False
SMAD3,680,8.233328347790285e-05,356,0.00046264762107911696,281,0.00037463340137919385,439.0,False
CHD4,463,0.00021880657967895704,605,0.00016588109569552628,252,0.0004065285070144896,440.0,False
BCL11B,456,0.00022525394684414619,535,0.00023728496076232247,335,0.0003173664901734093,442.0,False
TRERF1,470,0.00021126292964860718,476,0.00031477893946540655,381,0.0002694583696748768,442.3333333333333,False
EBF3,551,0.00015544691841844752,416,0.000390424388487273,360,0.00029217416390152226,442.3333333333333,False
MNT,501,0.00018742251836556534,584,0.00018333328078810928,247,0.00041071235835082035,444.0,False
MECOM,176,0.0005954412183310717,736,4.732978311494662e-05,421,0.00023500886067987872,444.3333333333333,False
HOXD4,557,0.0001510241485944293,451,0.00034034146621265927,326,0.0003230971181465341,444.6666666666667,False
HES6,641,0.00010317573246469912,215,0.0007704735242882497,478,0.00019583673342408886,444.6666666666667,False
SRY,341,0.00033195454860581526,733,4.976686296137399e-05,261,0.0003955675143570812,445.0,False
IRF2,530,0.00016738163800765525,263,0.0006478886076386268,543,0.00015078376484693607,445.3333333333333,False
ATF3,139,0.0006693870607595079,712,6.925941948006177e-05,487,0.00019113715043966357,446.0,False
ERF,575,0.00014304888753196627,281,0.0006146132847348009,483,0.00019299092564599988,446.3333333333333,False
PRDM2,195,0.0005499432128283044,375,0.00043300203963030293,771,2.4305881430047354e-05,447.0,False
ELF4,275,0.0004034730592055976,500,0.0002779563610602054,570,0.00013337988402058315,448.3333333333333,False
CTCFL,438,0.00023568264614506475,394,0.00040776698789662106,517,0.0001669536401990537,449.6666666666667,False
TFEB,690,7.802391710584695e-05,257,0.0006736856445389673,404,0.0002471416073603905,450.3333333333333,False
FOXD1,371,0.00030244394788910125,296,0.0005747596760832521,685,7.693177195561117e-05,450.6666666666667,False
PARK7,552,0.00015503011157610067,189,0.0008481009255609189,614,0.00011107761010591007,451.6666666666667,False
KAT2B,554,0.00015335528411069942,329,0.0005154537259455317,477,0.00019622799995335245,453.3333333333333,False
NKX6-2,415,0.0002581656856570837,347,0.0004840142056778087,601,0.00011741341759227109,454.3333333333333,False
NR2C1,239,0.0004435637174262383,632,0.0001388981387814662,494,0.00018316374624908238,455.0,False
MTF2,353,0.00031492369744641604,424,0.0003739154418795034,594,0.00012359699592614314,457.0,False
ESRRB,425,0.00025067549188062196,722,6.331642004115014e-05,226,0.00044275801144866625,457.6666666666667,False
PHF20,303,0.00037032919945803854,638,0.00013477351820146203,433,0.00022514486042354926,458.0,False
MAFK,503,0.00018584656572784297,557,0.00020730671453885876,319,0.0003336998040336684,459.6666666666667,False
